	Country_Code	Country_Name	Region	Year	Value	ISON	Income_Group
40	SLE	Sierra Leone	Sub-Saharan Africa	2000	1	694	Low income
183	CZE	Czechia	Europe & Central Asia	2000	1	203	High income
246	ESP	Spain	Europe & Central Asia	2000	1	724	High income
354	SDN	Sudan	Sub-Saharan Africa	2000	1	729	Low income
417	MUS	Mauritius	Sub-Saharan Africa	2000	1	480	Upper middle income
480	DNK	Denmark	Europe & Central Asia	2000	1	208	High income
543	SWE	Sweden	Europe & Central Asia	2000	1	752	High income
590	KNA	St. Kitts and Nevis	Latin America & Caribbean	2000	1	659	High income
810	MRT	Mauritania	Sub-Saharan Africa	2000	1	478	Lower middle income
873	LCA	St. Lucia	Latin America & Caribbean	2000	1	662	Upper middle income
952	SLB	Solomon Islands	East Asia & Pacific	2000	1	90	Lower middle income
1001	SSD	South Sudan	Sub-Saharan Africa	2000	1	728	Low income
1064	LKA	Sri Lanka	South Asia	2000	1	144	Lower middle income
1099	IMN	Isle of Man	Europe & Central Asia	2000	1	833	High income
1162	MEX	Mexico	Latin America & Caribbean	2000	1	484	Upper middle income
1225	JOR	Jordan	Middle East & North Africa	2000	1	400	Upper middle income
1304	SOM	Somalia	Sub-Saharan Africa	2000	1	706	Low income
1477	ZAF	South Africa	Sub-Saharan Africa	2000	1	710	Upper middle income
1563	SGP	Singapore	East Asia & Pacific	2000	1	702	High income
1728	MDG	Madagascar	Sub-Saharan Africa	2000	1	450	Low income
1791	LUX	Luxembourg	Europe & Central Asia	2000	1	442	High income
1920	ISR	Israel	Middle East & North Africa	2000	1	376	High income
2019	DOM	Dominican Republic	Latin America & Caribbean	2000	1	214	Upper middle income
2042	SYC	Seychelles	Sub-Saharan Africa	2000	1	690	High income
2105	SVN	Slovenia	Europe & Central Asia	2000	1	705	High income
2168	LBR	Liberia	Sub-Saharan Africa	2000	1	430	Low income
2328	SXM	Sint Maarten (Dutch part)	Latin America & Caribbean	2000	1	534	High income
2488	KIR	Kiribati	East Asia & Pacific	2000	1	296	Lower middle income
2551	KWT	Kuwait	Middle East & North Africa	2000	1	414	High income
2614	MWI	Malawi	Sub-Saharan Africa	2000	1	454	Low income
2672	FSM	Micronesia, Fed. Sts.	East Asia & Pacific	2000	1	583	Lower middle income
2743	KOR	Korea, Rep.	East Asia & Pacific	2000	1	410	High income
2956	PRK	Korea, Dem. People's Rep.	East Asia & Pacific	2000	1	408	Low income
3019	KAZ	Kazakhstan	Europe & Central Asia	2000	1	398	Upper middle income
3082	TLS	Timor-Leste	East Asia & Pacific	2000	1	626	Lower middle income
3160	CHE	Switzerland	Europe & Central Asia	2000	1	756	High income
3242	DJI	Djibouti	Middle East & North Africa	2000	1	262	Lower middle income
3305	JPN	Japan	East Asia & Pacific	2000	1	392	High income
3368	LIE	Liechtenstein	Europe & Central Asia	2000	1	438	High income
3423	MAC	Macao SAR, China	East Asia & Pacific	2000	1	446	High income
3549	VEN	Venezuela, RB	Latin America & Caribbean	2000	1	862	
3612	ZMB	Zambia	Sub-Saharan Africa	2000	1	894	Low income
3661	DMA	Dominica	Latin America & Caribbean	2000	1	212	Upper middle income
3724	TUV	Tuvalu	East Asia & Pacific	2000	1	798	Upper middle income
3788	SVK	Slovak Republic	Europe & Central Asia	2000	1	703	High income
3851	MDV	Maldives	South Asia	2000	1	462	Upper middle income
3953	LBY	Libya	Middle East & North Africa	2000	1	434	Upper middle income
4016	LAO	Lao PDR	East Asia & Pacific	2000	1	418	Lower middle income
4068	MDA	Moldova	Europe & Central Asia	2000	1	498	Upper middle income
4131	TUR	Turkiye	Europe & Central Asia	2000	1	792	Upper middle income
4194	MNG	Mongolia	East Asia & Pacific	2000	1	496	Lower middle income
4257	NPL	Nepal	South Asia	2000	1	524	Lower middle income
4291	TGO	Togo	Sub-Saharan Africa	2000	1	768	Low income
4354	SYR	Syrian Arab Republic	Middle East & North Africa	2000	1	760	Low income
4417	URY	Uruguay	Latin America & Caribbean	2000	1	858	High income
4480	GBR	United Kingdom	Europe & Central Asia	2000	1	826	High income
4543	PAK	Pakistan	South Asia	2000	1	586	Lower middle income
4576	LSO	Lesotho	Sub-Saharan Africa	2000	1	426	Lower middle income
4639	LVA	Latvia	Europe & Central Asia	2000	1	428	High income
4702	TON	Tonga	East Asia & Pacific	2000	1	776	Upper middle income
4765	TUN	Tunisia	Middle East & North Africa	2000	1	788	Lower middle income
4828	TCA	Turks and Caicos Islands	Latin America & Caribbean	2000	1	796	High income
4891	ERI	Eritrea	Sub-Saharan Africa	2000	1	232	Low income
4954	PNG	Papua New Guinea	East Asia & Pacific	2000	1	598	Lower middle income
5017	OMN	Oman	Middle East & North Africa	2000	1	512	High income
5163	TJK	Tajikistan	Europe & Central Asia	2000	1	762	Lower middle income
5226	THA	Thailand	East Asia & Pacific	2000	1	764	Upper middle income
5289	UGA	Uganda	Sub-Saharan Africa	2000	1	800	Low income
5386	MCO	Monaco	Europe & Central Asia	2000	1	492	High income
5449	ZWE	Zimbabwe	Sub-Saharan Africa	2000	1	716	Lower middle income
5494	VCT	St. Vincent and the Grenadines	Latin America & Caribbean	2000	1	670	Upper middle income
5557	JAM	Jamaica	Latin America & Caribbean	2000	1	388	Upper middle income
5620	TTO	Trinidad and Tobago	Latin America & Caribbean	2000	1	780	High income
5721	LTU	Lithuania	Europe & Central Asia	2000	1	440	High income
5784	PSE	West Bank and Gaza	Middle East & North Africa	2000	1	275	Lower middle income
5847	UZB	Uzbekistan	Europe & Central Asia	2000	1	860	Lower middle income
5944	SRB	Serbia	Europe & Central Asia	2000	1	688	Upper middle income
5960	RWA	Rwanda	Sub-Saharan Africa	2000	1	646	Low income
6023	EST	Estonia	Europe & Central Asia	2000	1	233	High income
6086	ROU	Romania	Europe & Central Asia	2000	1	642	High income
6149	SAU	Saudi Arabia	Middle East & North Africa	2000	1	682	High income
6212	ETH	Ethiopia	Sub-Saharan Africa	2000	1	231	Low income
6227	EGY	Egypt, Arab Rep.	Middle East & North Africa	2000	1	818	Lower middle income
6290	YEM	Yemen, Rep.	Middle East & North Africa	2000	1	887	Low income
6353	VIR	Virgin Islands (U.S.)	Latin America & Caribbean	2000	1	850	High income
6416	MMR	Myanmar	East Asia & Pacific	2000	1	104	Lower middle income
6430	SUR	Suriname	Latin America & Caribbean	2000	1	740	Upper middle income
6493	USA	United States	North America	2000	1	840	High income
6595	MAF	St. Martin (French part)	Latin America & Caribbean	2000	1	663	High income
6658	GRD	Grenada	Latin America & Caribbean	2000	1	308	Upper middle income
6758	VUT	Vanuatu	East Asia & Pacific	2000	1	548	Lower middle income
